tour_key_hash,organization,smt_category,transaction_date,acct_ops_flag,tour_key,tour_id,contr_num,lead_id,lead_id_formatted,country,state___country_code,state___country_description,account_number,operational_contract_number,accounting_contract_number,year___month_code,source_system,pender_date,ops_formatted_contract_project,ops_contract_number,ops_project_number,ops_contract_inventory_week_type,ops_contract_status_code,ops_contract_status_desc,ops_contract_substatus_code,ops_contract_substatus_desc,ops_cancel_date,ops_close_date,ops_suspense_date,ops_project_type,ops_points_purchased,ops_points_assessed,acct_formatted_contract_project,acct_contract_number,acct_project_number,acct_contract_inventory_week_type,acct_contract_status_code,acct_contract_status_desc,acct_contract_substatus_code,acct_contract_substatus_desc,acct_cancel_date,acct_close_date,acct_suspense_date,acct_project_type,acct_points_purchased,acct_points_assessed,ownership_status,ownership_status_details,booked,showed,qualified,gross_qualified,non_qualified,gross_transactions,gross_weeks,cancel_transactions,cancel_weeks,net_transactions,forclosure_weeks,net_weeks,net_weeks__inc_forclosures,gross_points_assessed_adjusted,cancel_points_assessed_adjusted,net_points_assessed_adjusted,gross_volume,gross_volume_local,cancel_volume,cancel_volume_local,gross_volume_adjusted,gross_volume_adjusted_local,gross_fdi,gross_fdi_local,cancel_fdi,cancel_fdi_local,net_fdi,net_fdi_local,net_volume,net_volume_local,owners,new_buyers,credit,debit,gross_booked_tour_key,gross_volume_pender,cancel_volume_pender,net_volume_pender,gross_transactions_excl_club_direct,cancel_transactions_excl_club_direct,net_transactions_excl_club_direct,qualified_tours_excl_club_direct,gross_volume_adjusted_excl_club_direct,net_volume_excl_club_direct,last_refresh_time,ops_sold_date,acct_sold_date,voice_reference_num,external_tour_id,enterprise_lead_id,budgeted_hgv_net_volume,fmt_enterprise_lead_id,lead_name,chorus_tour_id,voice_tour_id,sale_source_system,transaction_type_code,transaction_type_desc,honors_tier,honors_tier_as_of_today,hooked_flag,hooked_flag_desc,language_code,language_desc,lead_area,ops_project_desc,acct_project_desc,marital_status_code,marital_status_desc,nationality_code,nationality_desc,occupation_code,occupation_desc,pre_gifted_flag,pre_gifted_flag_desc,product_code,product_desc,purchase_type_code,purchase_type_desc,uni_contract_key,uni_tour_key,uni_package_key,tour_score,ops_project_type_summary,acct_project_type_summary,voice_lead_id,voice_lead_id_formatted,lead_title_1,lead_title_2,tour_date,lead_source_desc,secondary_owner_flag,acct_project_number_str,chorus_tour_id_str,enterprise_lead_id_str,external_tour_id_str,lead_id_str,op_project_number_str,transaction_date_str,transaction_date_ymd,voice_tour_id_str,r20_gross_transactions,r20_cancel_transactions,r20_net_transactions,r20_gross_volume,r20_cancel_volume,r20_net_volume,exclude_flag,lead_prequal_fico_tier,sell_vendor_cd,sell_vendor_name,resc_start_date,resc_end_date,grossfdisuppressed,grossfdisuppressedlocalcurrency,cancelfdisuppressed,cancelfdisuppressedlocalcurrency,fico_color,uni_project_key,project_ref,contr_num_ref,project_contr_num_ref,ops_uni_project_key,acct_uni_project_key
285,HGV,SALE,2023-07-06,5,DRI_C18997365,121844689,18997365,649546355,9-649546355,UNITED STATES,VA,VIRGINIA,UNKNOWN,18997365,18997365,202307,BSM,1900-01-01,CSV-18997365,18997365,CSV,Full Week,IOW,Inactive Owner,FOR,Foreclosure,2025-09-05,2023-07-12,2023-07-06,Perennial,8000,8000,CSV-18997365,18997365,CSV,Full Week,IOW,Inactive Owner,FOR,Foreclosure,2025-09-05,2023-07-12,2023-07-06,Perennial,8000,8000,Owner,Upgrade,0,0,0,0,0,1,0.00,0,0.00,1,0.00,0.00,0.00,8000,0,8000,28480.000000000000,28480.000000000000,0E-12,0E-12,28480.000000000000,28480.000000000000,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,28480.000000000000,28480.000000000000,1,0,28480.00,0.00,,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:36:39.117Z,2023-07-06,2023-07-06,48980800,202307065090700489808000103,649546355,0E-12,9-649546355,null,16076244,202307060651,CROSS SALE,null,null,null,null,null,null,1,English,9,U. S. Collection,U. S. Collection,M,Married,null,null,null,null,null,null,null,null,null,null,DRI18997365CSV,null,DRI121844689,9.10,Trust,Trust,48980800,800-48980,Mr.,null,2023-07-06,DRI,N,CSV,16076244,649546355,202307065090700489808000103,649546355,CSV,2023-07-06,20230706,202307060651,1,0E-12,1.000000000000,28480.000000000000,0E-12,28480.000000000000,N,null,null,null,2023-07-07,2023-07-14,0E-12,0E-12,0E-12,0E-12,Pink,DRICSV,CSV,18997365,CSV-18997365,DRICSV,DRICSV
285,HGV,SALE,2023-07-06,5,DRI_C18997365,121844689,18997365,649546355,9-649546355,UNITED STATES,VA,VIRGINIA,UNKNOWN,18997365,18120951,202307,BSM,1900-01-01,CSV-18997365,18997365,CSV,Full Week,IOW,Inactive Owner,FOR,Foreclosure,2025-09-05,2023-07-12,2023-07-06,Perennial,0,0,CSV-18120951,18120951,CSV,EOY,IOW,Inactive Owner,UPG,Upgrade,2023-07-12,2020-02-25,2020-02-16,Term,7500,7500,Owner,Upgrade,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,-3750,0,-3750,-14705.000000000000,-14705.000000000000,0E-12,0E-12,-14705.000000000000,-14705.000000000000,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,-14705.000000000000,-14705.000000000000,1,0,0.00,14705.00,,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:36:39.117Z,2023-07-06,2020-02-16,48980800,202307065090700489808000103,649546355,0E-12,9-649546355,null,16076244,202307060651,CROSS SALE,null,null,null,null,null,null,1,English,9,U. S. Collection,U. S. Collection,M,Married,null,null,null,null,null,null,null,null,null,null,DRI18120951CSV,null,DRI121844689,9.10,Trust,Trust,48980800,800-48980,Mr.,null,2023-07-06,DRI,N,CSV,16076244,649546355,202307065090700489808000103,649546355,CSV,2023-07-06,20230706,202307060651,0,0E-12,0E-12,-14705.000000000000,0E-12,-14705.000000000000,N,null,null,null,2023-07-07,2023-07-14,0E-12,0E-12,0E-12,0E-12,Pink,DRICSV,CSV,18120951,CSV-18120951,DRICSV,DRICSV
509,HGV,SALE,2023-07-30,5,DRI_C18292130,126748794,18292130,689974632,77-689974632,UNITED STATES,TX,TEXAS,UNKNOWN,18292130,18292130,202307,BSM,1900-01-01,CSV-18292130,18292130,CSV,EOY,IOW,Inactive Owner,UPG,Upgrade,2024-04-03,2023-08-07,2023-07-30,Trust Biennial,8000,8000,CSV-18292130,18292130,CSV,EOY,IOW,Inactive Owner,UPG,Upgrade,2024-04-03,2023-08-07,2023-07-30,Trust Biennial,8000,8000,New Buyer,New Buyer,0,0,0,0,0,1,0.00,0,0.00,1,0.00,0.00,0.00,4000,0,4000,15900.000000000000,15900.000000000000,0E-12,0E-12,15900.000000000000,15900.000000000000,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,15900.000000000000,15900.000000000000,0,1,15900.00,0.00,,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:36:39.117Z,2023-07-30,2023-07-30,240581800,202307305340202405818000101,689974632,0E-12,77-689974632,null,16206853,202307300693,CROSS SALE,null,null,null,null,null,null,1,English,77,U. S. Collection,U. S. Collection,M,Married,null,null,null,null,null,null,null,null,null,null,DRI18292130CSV,null,DRI126748794,1.10,Trust,Trust,240581800,800-240581,Mr.,Mrs.,2023-07-30,HGV,N,CSV,16206853,689974632,202307305340202405818000101,689974632,CSV,2023-07-30,20230730,202307300693,1,0E-12,1.000000000000,15900.000000000000,0E-12,15900.000000000000,N,2,null,null,2023-07-31,2023-08-04,0E-12,0E-12,0E-12,0E-12,Green,DRICSV,CSV,18292130,CSV-18292130,DRICSV,DRICSV
509,HGV,SALE,2023-07-30,5,DRI_C18292130,126748794,18292130,689974632,77-689974632,UNITED STATES,TX,TEXAS,UNKNOWN,18292130,18292130,202307,BSM,1900-01-01,CSV-18292130,18292130,CSV,EOY,IOW,Inactive Owner,UPG,Upgrade,2024-04-03,2023-08-07,2023-07-30,Trust Biennial,0,0,CSV-18292130,18292130,CSV,EOY,IOW,Inactive Owner,UPG,Upgrade,2024-04-03,2023-08-07,2023-07-30,Trust Biennial,8000,8000,New Buyer,New Buyer,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,1216.000000000000,1216.000000000000,0E-10,0E-12,1216.000000000000,1216.000000000000,-1216.000000000000,-1216.000000000000,0,1,0.00,1216.00,,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:36:39.117Z,2023-07-30,2023-07-30,240581800,202307305340202405818000101,689974632,0E-12,77-689974632,null,16206853,202307300693,CROSS SALE,null,null,null,null,null,null,1,English,77,U. S. Collection,U. S. Collection,M,Married,null,null,null,null,null,null,null,null,null,null,DRI18292130CSV,null,DRI126748794,1.10,Trust,Trust,240581800,800-240581,Mr.,Mrs.,2023-07-30,HGV,N,CSV,16206853,689974632,202307305340202405818000101,689974632,CSV,2023-07-30,20230730,202307300693,0,0E-12,0E-12,0E-12,0E-12,-1216.000000000000,N,2,null,null,2023-07-31,2023-08-04,0E-12,0E-12,0E-12,0E-12,Green,DRICSV,CSV,18292130,CSV-18292130,DRICSV,DRICSV
759,HGV,SALE,2023-07-18,5,DRI_C18287188,126500174,18287188,317828786,70-317828786,UNITED STATES,MD,MARYLAND,UNKNOWN,18287188,18287188,202307,BSM,2023-07-14,CSV-18287188,18287188,CSV,Full Week,CIR,Current Owner,ACT,Active,1900-01-01,2023-07-25,2023-07-18,Perennial,0,0,CSV-18287188,18287188,CSV,Full Week,CIR,Current Owner,ACT,Active,1900-01-01,2023-07-25,2023-07-18,Perennial,1500,1500,Owner,Reload,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,437.000000000000,437.000000000000,0E-10,0E-12,437.000000000000,437.000000000000,-437.000000000000,-437.000000000000,1,0,0.00,437.00,,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:36:39.117Z,2023-07-14,2023-07-14,146452800,2023071415001014645280001,317828786,0E-12,70-317828786,null,16120731,202307140217,CROSS SALE,null,null,null,null,null,null,1,English,70,U. S. Collection,U. S. Collection,S,Single,null,null,5,Professional,null,null,null,null,null,null,DRI18287188CSV,null,DRI126500174,1.10,Trust,Trust,146452800,800-146452,null,null,2023-07-14,DRI,N,CSV,16120731,317828786,2023071415001014645280001,317828786,CSV,2023-07-18,20230718,202307140217,0,0E-12,0E-12,0E-12,0E-12,-437.000000000000,N,null,null,null,2023-07-17,2023-07-28,0E-12,0E-12,0E-12,0E-12,Pink,DRICSV,CSV,18287188,CSV-18287188,DRICSV,DRICSV
424,HGV,TOUR,2023-07-10,5,HGV_T14732053,16089932,0,140011010,10-140011,UNITED STATES,CA,CALIFORNIA,UNKNOWN,UNKNOWN,UNKNOWN,202307,1,1900-01-01,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,0,0,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,null,null,Owner,Upgrade,1,1,1,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,0E-12,0E-12,1,0,0.00,0.00,14732053,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,1,0E-12,0E-12,2026-06-10T12:30:26.880Z,1900-01-01,1900-01-01,null,null,686189795,0E-12,69-140011010,null,16089932,202307100588,VOICE,T,Tour,null,null,true,Yes,ENG,ENGLISH,10,null,null,M,MARRIED   ,1    ,AMERICAN            ,0,                    ,false,No,1,VACATION OWNERSHIP,0,UNKNOWN,HGV00000,HGV202307100588LVB16089932,HGV0140011010,5.10,null,null,140011010,10-140011,Mr.       ,Mrs.      ,2023-07-10,HGV,N,0,16089932,686189795,null,140011010,0,2023-07-10,20230710,202307100588,0,0E-12,0E-12,0E-12,0E-12,0E-12,N,null,null,null,1900-01-01,1900-01-01,0E-12,0E-12,0E-12,0E-12,Pink,HGV0,0,0,000-0,HGV0,HGV0
792,HGV,WEEKS,2023-07-15,6,HGV_T14763003,16124293,662408,2791102004,4-2791102,UNITED STATES,FL,FLORIDA,UNKNOWN,115-662408,115-662408,202307,1,2023-07-15,115-662408,662408,115,null,2,Current Owner,OW,Owner,1900-01-01,2023-07-29,2023-07-15,VIP,0,0,115-662408,662408,115,null,2,Current Owner,OW,Owner,1900-01-01,2023-07-29,2023-07-15,VIP,11520,11520,New Buyer,New Buyer,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,0E-12,0E-12,0,1,0.00,0.00,14763003,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:30:26.880Z,2023-07-15,2023-07-15,null,null,700657887,0E-12,69-2791102004,null,16124293,202307150168,VOICE,ACCT_TMA,Accounting TMA,null,null,true,Yes,ENG,ENGLISH,4,VIP (Points),VIP (Points),M,MARRIED   ,     ,                    ,0,                    ,false,No,1,VACATION OWNERSHIP,1,Pender,HGV6624080115,HGV202307150168VIC16124293,HGV02791102004,5.10,VIP,VIP,2791102004,4-2791102,Mrs.      ,Mr.       ,2023-07-15,HGV,N,115,16124293,700657887,null,2791102004,115,2023-07-15,20230715,202307150168,0,0E-12,0E-12,0E-12,0E-12,0E-12,N,null,null,null,2023-01-16,2023-01-16,0E-12,0E-12,0E-12,0E-12,Pink,HGV115,115,662408,115-662408,HGV115,HGV115
759,HGV,TOUR,2023-07-23,5,HGV_T13937120,15207711,0,5761844010,10-5761844,UNITED STATES,GA,GEORGIA,UNKNOWN,UNKNOWN,UNKNOWN,202307,1,1900-01-01,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,0,0,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,null,null,New Buyer,New Buyer,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,0E-12,0E-12,0,1,0.00,0.00,13937120,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:30:26.880Z,1900-01-01,1900-01-01,null,null,687556658,0E-12,69-5761844010,null,15207711,202307230005,VOICE,T,Tour,null,null,true,Yes,ENG,ENGLISH,10,null,null,M,MARRIED   ,AME  ,AMERICAN/ENGLISH    ,199,CURRENTLY EMPLOYED  ,false,No,1,VACATION OWNERSHIP,0,UNKNOWN,HGV00000,HGV202307230005TEN15207711,HGV86625335761844010,null,null,null,5761844010,10-5761844,          ,          ,2023-07-23,HGV,N,0,15207711,687556658,null,5761844010,0,2023-07-23,20230723,202307230005,0,0E-12,0E-12,0E-12,0E-12,0E-12,N,null,null,null,1900-01-01,1900-01-01,0E-12,0E-12,0E-12,0E-12,Pink,HGV0,0,0,000-0,HGV0,HGV0
115,HGV,TOUR,2023-07-19,5,HGV_T14663559,16014059,0,6780452168,168-6780452,UNITED STATES,VA,VIRGINIA,UNKNOWN,UNKNOWN,UNKNOWN,202307,1,1900-01-01,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,0,0,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,null,null,New Buyer,New Buyer,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,0E-12,0E-12,0,1,0.00,0.00,14663559,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0,0E-12,0E-12,2026-06-10T12:30:26.880Z,1900-01-01,1900-01-01,null,null,698172971,0E-12,69-6780452168,null,16014059,202307190273,VOICE,T,Tour,null,null,true,Yes,ENG,ENGLISH,168,null,null,M,MARRIED   ,AME  ,AMERICAN/ENGLISH    ,0,                    ,false,No,1,VACATION OWNERSHIP,0,UNKNOWN,HGV00000,HGV202307190273MYR16014059,HGV82457226780452168,null,null,null,6780452168,168-6780452,          ,          ,2023-07-19,HGV,N,0,16014059,698172971,null,6780452168,0,2023-07-19,20230719,202307190273,0,0E-12,0E-12,0E-12,0E-12,0E-12,N,null,null,null,1900-01-01,1900-01-01,0E-12,0E-12,0E-12,0E-12,Pink,HGV0,0,0,000-0,HGV0,HGV0
60,HGV,TOUR,2023-07-06,5,HGV_T14722853,16079703,0,4091187152,152-4091187,UNITED STATES,AL,ALABAMA,UNKNOWN,UNKNOWN,UNKNOWN,202307,1,1900-01-01,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,0,0,UNKNOWN,0,0,null,null,null,null,null,1900-01-01,1900-01-01,1900-01-01,null,null,null,New Buyer,New Buyer,1,1,1,0,0,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,0E-10,0E-12,0E-12,0E-12,0E-12,0E-12,0,1,0.00,0.00,14722853,0E-12,0E-12,0E-12,0E-12,0E-12,0E-12,1,0E-12,0E-12,2026-06-10T12:30:26.880Z,1900-01-01,1900-01-01,null,null,671487029,0E-12,69-4091187152,null,16079703,202307060773,VOICE,T,Tour,null,null,true,Yes,ENG,ENGLISH,152,null,null,M,MARRIED   ,AME  ,AMERICAN/ENGLISH    ,21,NURSE/HEALTH CARE/NO,false,No,1,VACATION OWNERSHIP,0,UNKNOWN,HGV00000,HGV202307060773VIC16079703,HGV76852774091187152,null,null,null,4091187152,152-4091187,          ,          ,2023-07-06,HGV,N,0,16079703,671487029,null,4091187152,0,2023-07-06,20230706,202307060773,0,0E-12,0E-12,0E-12,0E-12,0E-12,N,null,null,null,1900-01-01,1900-01-01,0E-12,0E-12,0E-12,0E-12,Pink,HGV0,0,0,000-0,HGV0,HGV0
