tour_key_hash,organization,tour_key,tour_id,contr_num,tour_booked_date,tour_date,tour_status_code,tour_status_desc,tour_type_code,tour_type_desc,tour_wave_code,tour_wave_desc,wave_time,formatted_wave_time,tour_arrival_time,tour_length,manifest_code,manifest_description,office_active___inactive_flag,office_code,office_description,office_division,office_region,office_sales_type,office_site,office_subregion,office_subsite,marketing_box_code,marketing_box_desc,marketing_company_code,marketing_company_desc,channel,marketing_source_department_code_debit,dept_desc,dept_type,tour_channel,marketing_program_code,marketing_program_desc,last_refresh_time,activator_code,activator_desc,tour_disqualification_code,tour_disqualification_desc,tour_purchase_date,tour_activation_date,source_code,source_desc,external_tour_id,office_code_consolidated,office_brand,tour_confirmation_code,tour_confirmation_desc,mobile_office_code,mobile_office_desc,call_center_code,call_center_desc,activation_promotion_code,activation_promotion_desc,customer_care_promotion_code,customer_care_promotion_desc,marketing_package_type_code,marketing_package_type_desc,promotion_code,promotion_desc,summary_code,summary_desc,package_sale_id,tour_length_str,market_link,offer_type,market_mix,item_status,offer_cd,offer_desc,sales_line
521,DRI,DRI_T8163518,8163518,-1,2004-08-12,2004-08-12,3,No Show,3,Unpd Line Tour,1,Garden Lago Cold Sales,1970-01-01T10:00:00.000Z,10:00 AM,01:49 PM,1970-01-01T00:00:00.000Z,16908,MTE - HOTEL MARTE,true,230,C-Garden Lago - Inactive,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16707,Onsite Marketing,null,null,null,null,null,76,Tour Operator lead,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,197,Airtours Resort,null,DRI230,DRI,null,null,null,null,null,null,null,null,null,null,null,null,194,Airtours Excursion ,CLD,Cold,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
779,DRI,DRI_T7879159,7879159,-1,2005-10-04,2005-10-04,2,Show,1,Paid Line Tour,1,Garden Lago Cold Sales,1970-01-01T10:00:00.000Z,10:00 AM,09:30 AM,1970-01-01T03:00:00.000Z,17239,ASC - ALCUDIA SOL CENTRE,true,230,C-Garden Lago - Inactive,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16707,Onsite Marketing,null,null,null,null,null,76,Tour Operator lead,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,197,Airtours Resort,null,DRI230,DRI,null,null,null,null,null,null,null,null,null,null,null,null,194,Airtours Excursion ,CLD,Cold,null,1970-01-01 03:00:00,null,null,null,null,null,null,null
722,DRI,DRI_T8013162,8013162,-1,1993-01-18,1993-01-18,5,Cancel,1,Paid Line Tour,3,Pine Lake Cold Line Wave 3,1970-01-01T15:30:00.000Z,03:30 PM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,5,C-Pine Lake Resort,International,North America/Europe,Developer,Europe,East,Pine Lake,null,null,16699,Quay - Lancaster,null,null,null,null,null,5,RCI Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,5,RCI / II ,null,DRI5,DRI,null,null,null,null,null,null,null,null,null,null,null,null,77,$50 CUCINA RUSTICA GIFT CARD,null,null,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
164,DRI,DRI_T8604308,8604308,-1,2011-12-23,2011-12-26,2,Show,INH,In-house,ACI,08:15 AM - MANA,1970-01-01T08:15:00.000Z,08:15 AM,08:15 AM,1970-01-01T02:29:00.000Z,11035,EVM-Kaanapali Beach Club,true,KBI,Ka'anapali Beach Club Owner,Domestic,Asia Pacific,Developer,Maui,Hawaii,Kaanapali,CLUB,CLUB,11879,RPM,InHouse,16251,InHouse,OnSite Marketing,Club,CLB,CLUB,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,2011-12-23,1900-01-01,ZCMHR,CLUB MEMBER HOME RESORT,null,DRIKBI,DRI,null,null,null,null,NON,None,null,null,null,null,null,null,NON,None,null,null,null,1970-01-01 02:29:00,null,null,null,null,null,null,null
363,DRI,DRI_T7864703,7864703,-1,2005-10-30,2005-10-30,2,Show,40,Paid Multi Media,1,Broome Park Cold Line Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,10:30 AM,1970-01-01T02:00:00.000Z,null,null,true,173,C-Broome Park Golf and Country Club,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16790,Cruise Travel Ltd,null,null,null,null,null,75,Outside Generator Cold lead,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,99,Misc ,null,DRI173,DRI,null,null,null,null,null,null,null,null,null,null,null,null,615,Feria (2 Flights and Free Car Hire),CLD,Cold,null,1970-01-01 02:00:00,null,null,null,null,null,null,null
396,DRI,DRI_T7677413,7677413,-1,2004-06-18,2004-06-18,5,Cancel,42,Inhouse Multi Media,1,Moulin Inhouse Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,172,W-Moulin De Connelles,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16707,Onsite Marketing,null,null,null,null,null,10,GVC Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,1008,GVC Telephone Reservations ,null,DRI172,DRI,null,null,null,null,null,null,null,null,null,null,null,null,8001,GVC Standard Reservation,ECB,Club,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
151,DRI,DRI_T7542668,7542668,-1,2004-06-14,2004-06-14,4,Show - No tour,44,Autotour (Non Mkting),1,Moulin Inhouse Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,10:30 AM,1970-01-01T00:00:00.000Z,null,null,true,172,W-Moulin De Connelles,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16707,Onsite Marketing,null,null,null,null,null,10,GVC Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,1008,GVC Telephone Reservations ,null,DRI172,DRI,null,null,null,null,null,null,null,null,null,null,null,null,8001,GVC Standard Reservation,ECB,Club,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
786,DRI,DRI_T7568297,7568297,-1,2003-10-10,2003-10-10,4,Show - No tour,42,Inhouse Multi Media,1,Cala de Mar Warm Line,1970-01-01T10:00:00.000Z,10:00 AM,10:00 AM,1970-01-01T00:00:00.000Z,null,null,true,234,W-Cala de Mar - Inactive,Domestic,Other,Developer,Other,Other,UNDEFINED,null,null,16707,Onsite Marketing,null,null,null,null,null,5,RCI Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,5,RCI / II ,null,DRI234,DRI,null,null,null,null,null,null,null,null,null,null,null,null,817,Exchange/Inbound RCI Points Resv,ECH,Exchange ,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
351,DRI,DRI_T7609288,7609288,-1,2003-02-14,2003-02-14,5,Cancel,43,Inhouse Non Multi Media,1,LABC Wave 1,1970-01-01T10:00:00.000Z,10:00 AM,12:00 AM,1970-01-01T00:00:00.000Z,null,null,true,53,F-LABC Dave Stronach,International,North America/Europe,Developer,Europe,East,Los Amigos,null,null,17174,GVC Holidays,null,null,null,null,null,10,GVC Member ,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,1900-01-01,1900-01-01,9168,Five Star Promotions Ltd Sales Office,null,DRI53,DRI,null,null,null,null,null,null,null,null,null,null,null,null,9,Buyers Award (2 flights),AWD,Awards,null,1970-01-01 00:00:00,null,null,null,null,null,null,null
766,DRI,DRI_T84141889,84141889,-1,2016-11-08,2016-11-21,3,No Show,EPP,Exit Program Purchased,UNH,00:00 - Unhooked,1970-01-01T00:00:00.000Z,12:00 AM,null,null,20588,Fairway Forest at Sapphire Valley,true,SVN,Sapphire Valley Inhouse,Domestic,North America/Europe,Developer,North Carolina,West / Midwest / Atl,Sapphire Valley,TSAMP,THE SAMPLER FULFILLED,16370,DRI National Marketing Center,Sampler,16518,Sampler Preview - New Buyers,Direct Marketing NMC,null,TSA,THE Sampler Preview,2026-06-10T12:36:39.117Z,UNK,UNKNOWN,UNK,UNK,2016-09-04,1900-01-01,TSA,THE Sampler fulfillment,null,DRISVN,DRI,null,null,null,null,DRI,National Marketing Center,null,null,null,null,null,null,NON,None,null,null,null,null,null,null,null,null,null,null,null
