enterprise_lead_id,tour_date,number_of_developed_contracts_owned,number_of_managed_contracts_owned,number_of_trust_contracts_owned,number_of_vip_sampler_contracts_purchased,number_of_resale_contracts_owned,first_voi_sold_date,most_recent_voi_sold_date,total_spent_life_to_date,total_intervals_owned,total_net_weeks,total_net_points,largest_list_price_purchase
667570561,2022-07-23,0,1,null,0,0,2021-09-11,2021-09-11,25990.00,1.00,1.00,5440,25990.000000000000
664787193,2021-11-26,0,2,null,0,0,2019-05-27,2021-01-08,58295.00,2.00,2.00,22080,58295.000000000000
667467833,2021-02-25,1,0,null,0,0,2008-11-19,2008-11-19,22945.75,0.50,0.50,13440,22945.750000000000
664575681,2024-05-03,1,0,null,0,0,2015-11-01,2023-11-26,44730.90,1.00,0.50,13440,44730.900000000000
667120825,2023-11-08,2,0,null,0,0,2005-03-02,2023-10-18,25490.00,1.50,0.50,15680,25490.000000000000
667519402,2024-01-17,0,0,null,0,0,null,null,0.00,0.00,0.00,0,2495.000000000000
681182403,2022-07-16,1,3,1,1,0,2018-02-27,2022-05-30,417998.00,7.00,6.00,73310,109866.000000000000
682067511,2015-02-15,0,1,null,0,0,2013-05-18,2013-05-18,14940.00,0.50,0.50,8000,14940.000000000000
683688363,2012-09-15,17,2,null,0,19,1988-03-02,2025-06-02,0.00,0.00,0.00,0,0E-12
681125403,2025-06-09,0,1,null,1,0,2012-11-10,2024-06-22,42250.00,1.50,0.00,11200,42250.000000000000
683430505,2025-03-20,5,0,null,0,0,2007-08-01,2023-03-17,387360.00,6.00,4.00,113760,154849.000000000000
683170099,2023-06-17,1,0,null,0,1,2004-05-16,2004-05-16,0.00,0.00,0.00,0,0E-12
683814507,2021-09-04,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
674246823,2023-05-29,1,0,null,0,0,2022-05-30,2022-05-30,22750.00,0.50,0.50,8000,22750.000000000000
675601527,2024-08-20,0,1,null,0,0,2006-12-06,2022-10-17,48990.00,1.00,0.00,11200,48990.000000000000
672028301,2023-07-28,1,0,null,0,0,2017-08-01,2017-08-01,24460.00,0.50,0.50,9920,24460.000000000000
671743477,2023-09-29,1,0,null,0,0,2019-06-07,2019-06-07,21150.00,1.00,1.00,5440,21150.000000000000
672352941,2021-10-31,1,0,null,1,0,2013-04-06,2018-02-18,67947.00,2.00,0.00,14400,67947.000000000000
672329915,2023-07-25,0,1,null,0,0,2012-05-25,2015-07-17,41402.00,0.50,0.00,14880,41402.000000000000
673446989,2024-04-15,1,1,null,0,0,2015-07-08,2019-07-02,111600.00,3.00,1.00,39040,74160.000000000000
672463367,2023-01-14,0,1,null,1,0,2021-09-21,2021-09-21,12350.00,1.50,0.50,3520,12350.000000000000
679026877,2025-06-30,1,1,null,0,0,2009-06-12,2022-08-04,121636.00,2.00,0.00,32160,72062.000000000000
680561705,2022-07-25,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
680211643,2023-06-22,1,0,null,0,0,2008-06-29,2011-06-25,37490.00,1.00,0.50,11200,37490.000000000000
690606961,2023-11-18,1,0,null,0,0,2011-06-17,2022-12-06,112990.00,1.00,-1.00,20160,112990.000000000000
690736946,2025-01-21,0,0,null,0,0,null,null,0.00,0.00,0.00,0,0E-12
691285462,2025-09-07,0,0,null,1,0,null,null,0.00,1.00,0.00,0,1695.000000000000
691401611,2022-11-29,2,1,null,0,0,2010-07-26,2021-10-27,320429.00,3.00,0.00,62960,178801.000000000000
664249369,2023-10-11,3,0,null,0,2,1999-05-26,2015-03-10,16685.00,0.50,0.50,7680,16685.000000000000
665074077,2022-04-19,1,0,null,0,0,2018-02-28,2018-02-28,64990.00,1.00,1.00,16800,64990.000000000000
681352931,2025-06-24,0,1,null,0,0,2024-09-09,2024-09-09,14950.00,0.50,0.50,5600,14950.000000000000
681083411,2022-09-18,2,1,null,0,2,1996-05-13,2021-09-13,12350.00,0.50,0.50,3520,12350.000000000000
